[1|K0a1]
[1 - L^-2 + L^-4*M^2 - L^-4 - L^-6*M^2 + L^-6 + L^-8|mK11n139]
[1 - L^-2*M^2 + L^-4*M^4 + 2*L^-2 - 4*L^-4*M^2 + 4*L^-4 - L^-6*M^2 + 2*L^-6|mK10n17]
[1 - L^-2*M^2 + L^-4*M^4 + L^-2 - 3*L^-4*M^2 + 2*L^-4 - L^-6*M^2 + L^-6|mK11n12]
[-2*L^10*M^2 + 2*L^8*M^4 + 2*L^10 - 3*L^8*M^2 - 3*L^6*M^4 + L^8 + 6*L^6*M^2 + L^4*M^4 - 2*L^6 - L^4*M^2|K11n171]
[-2*L^10*M^2 + 2*L^8*M^4 + 3*L^10 - 5*L^8*M^2 - 2*L^6*M^4 + 3*L^8 + 4*L^6*M^2 + L^4*M^4 - L^6 - 2*L^4*M^2|K11n181]
[2*L^10*M^4 - 2*L^8*M^6 + 2*L^12 - 9*L^10*M^2 + 10*L^8*M^4 + L^6*M^6 + 7*L^10 - 13*L^8*M^2 - 4*L^6*M^4 + 5*L^8 + 3*L^6*M^2 - L^6|K11n126]
[2*L^10*M^4 - 2*L^8*M^6 - 5*L^10*M^2 + 8*L^8*M^4 + L^6*M^6 + 2*L^10 - 8*L^8*M^2 - 4*L^6*M^4 + L^8 + 5*L^6*M^2 - 2*L^6|K11n136]
[2*L^10*M^4 - 2*L^8*M^6 - 6*L^10*M^2 + 9*L^8*M^4 + L^6*M^6 + 4*L^10 - 12*L^8*M^2 - 4*L^6*M^4 + 5*L^8 + 4*L^6*M^2|K11n180]
[2*L^10*M^4 - 2*L^8*M^6 + L^12 - 7*L^10*M^2 + 9*L^8*M^4 + L^6*M^6 + 5*L^10 - 11*L^8*M^2 - 4*L^6*M^4 + 4*L^8 + 4*L^6*M^2 - L^6|K11n93]
[2*L^10*M^4 - 2*L^8*M^6 + L^12 - 8*L^10*M^2 + 10*L^8*M^4 + L^6*M^6 + 6*L^10 - 14*L^8*M^2 - 4*L^6*M^4 + 6*L^8 + 3*L^6*M^2|K11n169]
